ticker,QZ697270@BMRK Corp
field,PX_LAST
date,
2017-05-08,101.174
2017-05-09,101.168
2017-05-10,101.241
2017-05-11,101.265
2017-05-12,101.531
2017-05-15,101.525
2017-05-16,101.567
2017-05-17,101.472
2017-05-18,101.366
2017-05-19,101.293
2017-05-22,101.206
2017-05-23,101.147
2017-05-24,101.282
2017-05-25,101.211
2017-05-26,101.245
2017-05-30,101.366
2017-05-31,101.376
2017-06-01,101.346
2017-06-02,101.493
2017-06-05,101.445
2017-06-06,101.491
2017-06-07,101.42
2017-06-08,101.388
2017-06-09,101.324
2017-06-12,101.308
2017-06-13,101.238
2017-06-14,101.481
2017-06-15,101.979
2017-06-16,102.091
2017-06-19,101.938
2017-06-20,102.014
2017-06-21,102.024
2017-06-22,102.107
2017-06-23,102.075
2017-06-26,102.038
2017-06-27,101.881
2017-06-28,101.874
2017-06-29,101.778
2017-06-30,101.619
2017-07-03,101.485
2017-07-05,101.499
2017-07-06,101.431
2017-07-07,101.44
2017-07-10,101.477
2017-07-11,101.547
2017-07-12,101.676
2017-07-13,101.646
2017-07-14,101.726
2017-07-17,101.76
2017-07-18,101.867
2017-07-19,101.802
2017-07-20,101.794
2017-07-21,101.851
2017-07-24,101.822
2017-07-25,101.608
2017-07-26,101.807
2017-07-27,101.753
2017-07-28,101.79
2017-07-31,101.779
2017-08-01,101.86
2017-08-02,101.795
2017-08-03,101.889
2017-08-04,101.799
2017-08-07,101.806
2017-08-08,101.788
2017-08-09,101.678
2017-08-10,101.34
2017-08-11,101.484
2017-08-14,101.381
2017-08-15,101.248
2017-08-16,101.383
2017-08-17,101.464
2017-08-18,101.469
2017-08-21,101.511
2017-08-22,101.411
2017-08-23,101.561
2017-08-24,101.444
2017-08-25,101.532
2017-08-28,101.619
2017-08-29,101.72
2017-08-30,101.666
2017-08-31,101.69
2017-09-01,101.582
2017-09-05,101.84
2017-09-06,101.693
2017-09-07,101.848
2017-09-08,101.83
2017-09-11,101.732
2017-09-12,101.49
2017-09-13,101.421
2017-09-14,101.351
2017-09-15,101.234
2017-09-18,101.859
2017-09-19,101.816
2017-09-20,101.679
2017-09-21,101.593
2017-09-22,101.682
2017-09-25,101.734
2017-09-26,101.681
2017-09-27,101.547
2017-09-28,101.609
2017-09-29,101.462
2017-10-02,101.469
2017-10-03,101.512
2017-10-04,101.506
2017-10-05,101.422
2017-10-06,101.373
2017-10-10,101.365
2017-10-11,101.375
2017-10-12,101.404
2017-10-13,101.526
2017-10-16,101.337
2017-10-17,101.296
2017-10-18,101.192
2017-10-19,101.346
2017-10-20,101.781
2017-10-23,101.856
2017-10-24,101.746
2017-10-25,101.526
2017-10-26,101.453
2017-10-27,101.623
2017-10-30,101.694
2017-10-31,101.625
2017-11-01,101.638
2017-11-02,101.647
2017-11-03,101.684
2017-11-06,101.691
2017-11-07,101.68
2017-11-08,101.621
2017-11-09,101.655
2017-11-10,101.536
2017-11-13,101.202
2017-11-14,101.319
2017-11-15,101.115
2017-11-16,100.984
2017-11-17,101.334
2017-11-20,101.353
2017-11-21,101.265
2017-11-22,101.427
2017-11-24,101.373
2017-11-27,101.331
2017-11-28,101.225
2017-11-29,101.227
2017-11-30,101.256
2017-12-01,101.323
2017-12-04,101.235
2017-12-05,101.242
2017-12-06,101.185
2017-12-07,101.196
2017-12-08,101.204
2017-12-11,101.162
2017-12-12,101.149
2017-12-13,101.29
2017-12-14,101.186
2017-12-15,101.178
2017-12-18,101.12
2017-12-19,101.126
2017-12-20,101.075
2017-12-21,101.078
2017-12-22,101.131
2017-12-26,101.146
2017-12-27,101.245
2017-12-28,101.207
2017-12-29,101.287
2018-01-02,101.036
2018-01-03,101.056
2018-01-04,101.164
2018-01-05,101.054
2018-01-08,101.052
2018-01-09,100.93
2018-01-10,101.075
2018-01-11,100.999
2018-01-12,100.938
2018-01-16,100.891
2018-01-17,100.853
2018-01-18,100.954
2018-01-19,100.717
2018-01-22,100.58
2018-01-23,100.59
2018-01-24,100.488
2018-01-25,100.396
2018-01-26,100.217
2018-01-29,100.171
2018-01-30,100.133
2018-01-31,100.045
2018-02-01,99.965
2018-02-02,99.968
2018-02-05,99.811
2018-02-06,99.421
2018-02-07,99.25
2018-02-08,99.656
2018-02-09,98.835
2018-02-12,98.766
2018-02-13,98.787
2018-02-14,98.792
2018-02-15,99.026
2018-02-16,99.084
2018-02-20,99.239
2018-02-21,99.284
2018-02-22,99.105
2018-02-23,99.09
2018-02-26,99.09
2018-02-27,99.204
2018-02-28,99.212
2018-03-01,99.287
2018-03-02,99.188
2018-03-05,99.138
2018-03-06,99.216
2018-03-07,99.062
2018-03-08,99.108
2018-03-09,99.05
2018-03-12,99.028
2018-03-13,99.087
2018-03-14,99.118
2018-03-15,98.97
2018-03-16,98.839
2018-03-19,98.813
2018-03-20,98.567
2018-03-21,98.754
2018-03-22,98.798
2018-03-23,98.518
2018-03-26,98.261
2018-03-27,98.507
2018-03-28,98.229
2018-03-29,98.453
2018-04-02,98.416
2018-04-03,98.394
2018-04-04,98.314
2018-04-05,98.436
2018-04-06,98.573
2018-04-09,98.556
2018-04-10,98.592
2018-04-11,98.756
2018-04-12,98.793
2018-04-13,99.201
2018-04-16,98.947
2018-04-17,98.901
2018-04-18,98.819
2018-04-19,98.885
2018-04-20,98.652
2018-04-23,98.54
2018-04-24,98.619
2018-04-25,98.278
2018-04-26,97.914
2018-04-27,97.302
2018-04-30,97.332
2018-05-01,97.227
2018-05-02,97.289
2018-05-03,97.333
2018-05-04,97.303
2018-05-07,96.754
2018-05-14,96.918
2018-05-15,96.731
2018-05-16,96.549
2018-05-17,96.62
2018-05-18,96.729
2018-05-21,96.705
2018-05-22,96.781
2018-05-23,96.81
2018-05-24,96.872
2018-05-25,96.908
2018-05-29,96.906
2018-05-30,96.793
2018-05-31,96.865
2018-06-01,96.916
2018-06-04,95.894
2018-06-05,96.655
2018-06-06,96.728
2018-06-07,96.835
2018-06-08,96.883
2018-06-11,96.837
2018-06-12,96.874
2018-06-13,96.938
2018-06-14,96.987
2018-06-15,97.034
2018-06-18,97.03
2018-06-19,97.063
2018-06-20,96.874
2018-06-21,96.769
2018-06-22,96.828
2018-06-25,96.882
2018-06-26,96.432
2018-06-27,96.348
2018-06-28,96.328
2018-06-29,96.258
2018-07-02,96.088
2018-07-03,95.923
2018-07-05,95.422
2018-07-06,94.808
2018-07-09,94.573
2018-07-10,94.476
2018-07-11,94.537
2018-07-12,94.646
2018-07-13,94.896
2018-07-16,95.347
2018-07-17,95.302
2018-07-18,95.469
2018-07-19,95.731
2018-07-20,96.087
2018-07-23,96.339
2018-07-24,96.5
2018-07-25,97.199
2018-07-26,97.446
2018-07-27,97.784
2018-07-30,97.826
2018-07-31,97.658
2018-08-01,97.683
2018-08-02,97.658
2018-08-03,97.534
2018-08-06,97.555
2018-08-07,97.58
2018-08-08,97.653
2018-08-09,97.744
2018-08-10,97.888
2018-08-13,97.555
2018-08-14,97.464
2018-08-15,97.57
2018-08-16,97.39
2018-08-17,97.396
2018-08-20,97.383
2018-08-21,97.436
2018-08-22,97.358
2018-08-23,97.342
2018-08-24,97.449
2018-08-27,97.377
2018-08-28,97.313
2018-08-29,97.414
2018-08-30,97.587
2018-08-31,97.485
2018-09-04,96.999
2018-09-05,96.877
2018-09-06,97.035
2018-09-07,96.705
2018-09-10,96.996
2018-09-11,96.894
2018-09-12,96.835
2018-09-13,96.959
2018-09-14,97.103
2018-09-17,97.143
2018-09-18,96.963
2018-09-19,97.201
2018-09-20,97.298
2018-09-21,97.627
2018-09-24,97.728
2018-09-25,97.67
2018-09-26,97.836
2018-09-27,97.834
2018-09-28,97.731
2018-10-01,97.721
2018-10-02,98.004
2018-10-03,97.911
2018-10-04,97.996
2018-10-05,98.02
2018-10-09,97.845
2018-10-10,98.035
2018-10-11,97.623
2018-10-12,97.615
2018-10-15,97.702
2018-10-16,98.031
2018-10-17,97.759
2018-10-18,98.126
2018-10-19,97.831
2018-10-22,98.134
2018-10-23,97.777
2018-10-24,98.006
2018-10-25,97.66
2018-10-26,97.537
2018-10-29,97.726
2018-10-30,98.401
2018-10-31,97.688
2018-11-01,97.96
2018-11-02,97.99
2018-11-05,97.888
2018-11-06,97.93
2018-11-07,97.955
2018-11-08,97.911
2018-11-09,98.433
2018-11-13,98.353
2018-11-14,98.403
2018-11-15,98.466
2018-11-16,98.634
2018-11-19,98.354
2018-11-20,98.227
2018-11-21,98.038
2018-11-23,98.066
2018-11-26,98.039
2018-11-27,98.243
2018-11-28,98.101
2018-11-29,98.076
2018-11-30,98.559
2018-12-03,98.274
2018-12-04,98.375
2018-12-06,98.64
2018-12-07,98.551
2018-12-10,98.597
2018-12-11,98.485
2018-12-12,98.269
2018-12-13,98.185
2018-12-14,98.409
2018-12-17,98.266
2018-12-18,98.338
2018-12-19,98.419
2018-12-20,98.166
2018-12-21,98.184
2018-12-24,98.366
2018-12-26,98.242
2018-12-27,98.221
2018-12-28,98.389
2018-12-31,98.495
2019-01-02,98.372
2019-01-03,98.741
2019-01-04,98.251
2019-01-07,98.446
2019-01-08,98.53
2019-01-09,98.766
2019-01-10,98.58
2019-01-11,98.621
2019-01-14,98.629
2019-01-15,98.556
2019-01-16,98.692
2019-01-17,98.507
2019-01-18,98.616
2019-01-22,98.766
2019-01-23,98.918
2019-01-24,98.847
2019-01-25,98.942
2019-01-28,99.291
2019-01-29,98.978
2019-01-30,99.201
2019-01-31,99.165
2019-02-01,99.268
2019-02-04,99.125
2019-02-05,99.27
2019-02-06,99.384
2019-02-07,99.242
2019-02-08,99.292
2019-02-11,99.451
2019-02-12,99.338
2019-02-13,99.34
2019-02-14,99.41
2019-02-15,99.384
2019-02-19,99.599
2019-02-20,99.555
2019-02-21,99.668
2019-02-22,99.762
2019-02-25,99.804
2019-02-26,99.684
2019-02-27,99.42
2019-02-28,99.58
2019-03-01,99.587
2019-03-04,99.631
2019-03-05,99.651
2019-03-06,99.784
2019-03-07,99.856
2019-03-08,99.525
2019-03-11,99.706
2019-03-12,99.795
2019-03-13,99.818
2019-03-14,99.832
2019-03-15,99.955
2019-03-18,99.845
2019-03-19,99.897
2019-03-20,100.075
2019-03-21,100.073
2019-03-22,100.22
2019-03-25,100.093
2019-03-26,100.079
2019-03-27,99.996
2019-03-28,99.911
2019-03-29,99.904
2019-04-01,99.913
2019-04-02,99.926
2019-04-03,99.943
2019-04-04,99.937
2019-04-05,100.108
2019-04-08,99.965
2019-04-09,99.989
2019-04-10,100.069
2019-04-11,99.885
2019-04-12,99.963
2019-04-15,99.962
2019-04-16,100.156
2019-04-17,99.993
2019-04-18,99.958
2019-04-22,99.959
2019-04-23,99.998
2019-04-24,99.998
2019-04-25,99.955
2019-04-26,100.059
2019-04-29,99.929
2019-04-30,100.225
2019-05-01,99.799
2019-05-02,99.882
2019-05-03,100.007
2019-05-06,99.93
2019-05-07,99.953
2019-05-08,99.867
2019-05-09,99.93
2019-05-10,99.938
2019-05-13,99.8
2019-05-14,99.623
2019-05-15,99.825
2019-05-16,99.808
2019-05-17,99.709
2019-05-20,99.647
2019-05-21,99.867
2019-05-22,99.905
2019-05-23,99.897
2019-05-24,99.908
2019-05-28,99.977
2019-05-29,99.791
2019-05-30,100.044
2019-05-31,100.091
2019-06-03,100.055
2019-06-04,99.875
2019-06-05,99.967
2019-06-06,99.929
2019-06-07,100.084
2019-06-10,99.976
2019-06-11,100.158
2019-06-12,100.106
2019-06-13,100.153
2019-06-14,100.004
2019-06-17,100.069
2019-06-18,99.998
2019-06-19,100.63
2019-06-20,100.161
2019-06-21,100.372
2019-06-24,100.384
2019-06-25,100.913
2019-06-26,100.423
2019-06-27,100.635
2019-06-28,100.77
2019-07-01,100.928
2019-07-02,101.133
2019-07-03,101.15
2019-07-05,100.834
2019-07-08,101.014
2019-07-09,100.97
2019-07-10,101.171
2019-07-11,100.962
2019-07-12,101.069
2019-07-15,100.926
2019-07-16,100.979
2019-07-17,101.112
2019-07-18,101.113
2019-07-19,100.833
2019-07-22,100.878
2019-07-23,100.879
2019-07-24,100.916
2019-07-25,100.934
2019-07-26,100.893
2019-07-29,100.937
2019-07-30,100.964
